index,name,district,official,cov,cov_centres,bM,jM,bF,jF,adv,belt,jam_won,men_lead,women_lead,both_lead
162,Kishoreganj-1,Kishoreganj,BNP,34.3,37.0,45.553952155443994,0.0,48.72353057589551,0.0,0.0,False,False,BNP,BNP,BNP
163,Kishoreganj-2,Kishoreganj,BNP,15.6,17.6,59.03275206244134,37.850121029491675,59.93557978196234,37.58671952428147,-0.26340150521020433,False,False,BNP,BNP,BNP
164,Kishoreganj-3,Kishoreganj,BNP,14.1,15.9,48.102367688022284,45.27042711234912,48.59390936908058,45.402885035698674,0.13245792334955553,False,False,BNP,BNP,BNP
165,Kishoreganj-4,Kishoreganj,BNP,11.8,12.0,74.18822234452394,20.07233273056058,75.5658852061439,18.45189975747777,-1.62043297308281,False,False,BNP,BNP,BNP
166,Kishoreganj-5,Kishoreganj,Other,17.5,18.5,32.17967206110132,25.711691502430167,32.11056426691084,24.88840563122353,-0.823285871206636,False,False,BNP,BNP,BNP
167,Kishoreganj-6,Kishoreganj,BNP,26.3,26.8,78.69326213287262,0.0,81.68190127970749,0.0,0.0,False,False,BNP,BNP,BNP
168,Manikganj-1,Manikganj,BNP,17.1,19.0,44.410495359584466,23.194439139899934,50.27106101024008,25.0623870579124,1.8679479180124652,False,False,BNP,BNP,BNP
169,Manikganj-2,Manikganj,BNP,17.8,18.4,61.23417032943122,0.0,61.658122679865656,0.0,0.0,False,False,BNP,BNP,BNP
170,Manikganj-3,Manikganj,BNP,22.0,23.8,58.71626804267485,0.0,63.01394873292924,0.0,0.0,False,False,BNP,BNP,BNP
171,Munshiganj-1,Munshiganj,BNP,24.1,27.1,54.980572744279755,29.762555763419197,54.3821760524877,34.90978676872608,5.147231005306882,False,False,BNP,BNP,BNP
172,Munshiganj-2,Munshiganj,BNP,27.7,26.2,60.38816533508445,0.0,60.19898493514864,0.0,0.0,False,False,BNP,BNP,BNP
173,Munshiganj-3,Munshiganj,BNP,27.2,30.8,46.752068321323726,0.0,46.062744454473346,0.0,0.0,False,False,BNP,BNP,BNP
